link_id,Acum,Area,Long,h_order,dest,prun_7,prun_6,prun_5,prun_4
395243,1.987176,0.063278,0.294,2,399678,4,7,16,46
423301,0.164032,0.164032,0.521,1,423753,3,4,7,246
398630,0.151819,0.151819,0.62,1,398507,4,11,27,276
399696,883.2824,0.291077,0.615,6,399697,4,5,15,42
378024,0.278945,0.278945,0.453,1,377855,4,5,56,278
398962,0.657892,0.088558,0.422,2,398963,4,11,33,96
464634,1.067606,0.050238,0.325,2,464932,6,10,26,310
399588,269.5289,0.151713,0.259,6,399589,4,11,33,96
438291,0.113378,0.113378,0.457,1,440465,6,8,83,274
421736,1.918262,0.151453,0.425,2,421737,3,16,41,141
423446,0.441602,0.441602,0.945,1,423732,5,6,14,308
430521,3.025899,0.390897,1.041,2,430522,7,18,64,393
472034,0.941142,0.476863,1.194,2,471088,6,10,46,209
442545,0.906615,0.23926,0.525,2,442546,3,4,80,491
413702,0.202102,0.202102,0.518,1,411874,3,3,6,297
395592,0.265767,0.265767,0.751,1,396538,4,7,19,223
441139,0.39044,0.39044,0.719,1,440326,3,4,52,291
390983,0.303893,0.303893,0.549,1,388860,4,20,49,407
422858,0.239755,0.239755,0.518,1,424310,3,16,69,262
444159,0.176259,0.176259,0.517,1,445395,3,4,52,291
387688,36.11784,0.088615,0.294,4,387689,4,7,67,177
384372,0.304099,0.304099,0.72,1,385140,4,19,59,273
453126,1.157066,0.528252,1.004,2,453127,5,9,29,486
466476,0.213474,0.213474,0.774,1,465995,5,9,29,300
448956,0.767557,0.402667,1.013,2,448957,3,4,52,315
389929,0.215277,0.215277,0.356,1,390117,4,19,59,215
374539,1.712271,0.520029,1.069,2,372827,0,0,0,207
452368,0.12578,0.12578,0.619,1,452981,6,10,60,496
434931,0.252042,0.252042,0.557,1,435595,3,4,63,479
449667,34.44528,0.264444,0.65,4,449668,3,4,57,186
438600,1.700523,1.700523,2.26,1,480390,5,9,29,85
457935,0.213683,0.213683,0.45,1,458193,6,10,26,286
411872,1.970908,0.05053,0.131,2,411873,3,3,6,297
451502,0.251592,0.251592,0.546,1,452489,5,9,29,93
367365,72.46513,1.179626,1.469,5,367366,0,0,0,145
