link_id,Acum,Area,Long,h_order,dest,prun_7,prun_6,prun_5,prun_4
319666,18.519848,0.714493,1.209,3,319667,3,5,31,66
336743,0.190984,0.190984,0.423,1,336336,2,7,35,72
313810,0.140374,0.140374,0.426,1,313444,3,5,25,64
303568,1.51999,0.102194,0.163,2,303569,3,5,9,138
346339,8.304945,1.157621,1.406,4,346340,2,7,35,72
341964,0.203614,0.203614,0.357,1,343922,2,7,24,50
313469,435.05673,0.229982,0.622,6,313470,2,3,7,13
268898,0.846027,0.846027,1.799,1,268201,3,4,4,56
338856,0.305515,0.305515,0.78,1,341449,2,6,26,54
315817,0.599682,0.599682,0.976,1,315647,2,3,21,90
296979,0.434629,0.434629,0.782,1,296478,3,4,8,76
310528,0.217017,0.217017,0.426,1,311005,3,5,31,66
269728,42.92281,0.320351,0.459,3,292253,3,4,4,56
301075,0.434464,0.434464,1.014,1,300172,2,3,21,59
327015,0.68823,0.68823,0.878,1,335551,2,7,14,35
320192,15.738924,0.191288,0.394,3,320193,2,6,22,71
287726,0.294309,0.294309,0.424,1,313494,2,3,3,5
289479,0.243073,0.243073,0.785,1,291653,2,3,21,111
312585,0.370123,0.370123,0.426,1,312073,2,8,30,85
300166,3.565779,0.178911,0.522,3,300167,3,5,37,135
293971,10.588316,0.102342,0.358,3,293972,3,4,8,73
296478,3.541008,0.856544,1.433,2,297356,3,4,8,76
268707,4.448,0.153804,0.491,2,269725,3,4,4,56
335538,77.81874,0.025469,0.131,5,335539,2,7,14,40
349018,0.457816,0.457816,1.239,1,347760,2,6,26,119
318708,1.224526,0.599512,1.308,2,318709,2,7,36,77
327523,0.356825,0.356825,0.424,1,327203,2,3,17,80
313813,0.510452,0.510452,0.945,1,314392,2,8,18,88
288496,1.074781,1.074781,2.083,1,291344,2,8,15,32
321632,0.153023,0.153023,0.291,1,322787,2,3,17,62
311906,2.680332,0.012764,0.097,2,311907,3,5,12,91
346503,0.521534,0.521534,0.943,1,346873,2,7,35,144
283807,2.380842,0.908738,1.11,2,283808,3,4,8,81
337568,6.723115,0.203792,0.295,2,331646,2,6,29,96
282851,0.486497,0.486497,0.818,1,282005,3,4,23,51
325470,210.69429,0.280746,0.424,5,313455,2,6,10,22
313511,844.97876,0.038458,0.131,6,313512,2,2,2,2
331654,3.299556,0.229355,0.916,2,331655,2,3,17,103
296654,3.656173,0.281262,0.295,2,296655,2,3,5,7
295257,37.066193,0.089535,0.261,4,295258,3,9,28,57
322184,0.561069,0.561069,1.208,1,320997,3,5,25,86
314403,1.033643,1.033643,2.549,1,312083,2,3,7,17
343918,27.740158,0.763453,1.534,4,343919,2,7,24,50
307021,0.153239,0.153239,0.392,1,308079,2,3,7,83
331653,2.02551,1.235725,1.769,2,331654,2,3,17,103
305890,4.355785,0.255427,0.622,3,307848,3,5,12,139
346665,0.317986,0.317986,0.52,1,346662,2,6,26,129
313283,0.995398,0.216954,0.163,2,322795,2,3,17,44
307675,2.553775,0.242642,0.486,2,307676,2,3,7,100
293615,0.306906,0.306906,0.556,1,313486,2,3,5,7
326393,0.152949,0.152949,0.424,1,327345,2,6,11,25
288072,0.20473,0.20473,1.046,1,287360,2,2,2,105
298983,0.153375,0.153375,0.424,1,309960,2,3,21,59
307022,1.379153,0.676794,1.109,2,313465,2,3,7,15
320677,1.071232,0.522879,0.785,2,320678,3,5,31,66
339967,8.082139,0.70034,1.208,3,339968,2,6,29,74
311009,25.522406,0.268103,0.424,4,311010,2,8,18,65
282007,0.678575,0.678575,0.982,1,282006,3,4,23,51
320682,1.288001,1.288001,2.313,1,321633,2,3,17,126
291339,0.65232,0.204657,0.783,2,293970,3,4,8,73
316712,50.608482,0.140442,0.426,4,316713,3,5,25,52
325476,9.891705,0.739541,1.308,3,335561,2,7,14,107
296286,0.434689,0.434689,1.112,1,294880,3,4,8,73
298981,0.178937,0.178937,0.358,1,322811,2,3,17,37
282197,2.93185,0.909006,1.076,2,282198,3,4,23,106
300933,0.958333,0.958333,2.089,1,303295,3,5,37,95
281205,0.153655,0.153655,0.59,1,279789,3,4,23,51
277942,0.422681,0.422681,0.588,1,278632,3,4,23,115
317036,0.497562,0.497562,1.211,1,315644,2,8,18,118
344448,5.406693,0.025445,0.163,3,344608,2,6,26,129
276813,1.959755,0.140911,0.588,2,313516,2,2,2,2
304878,1.967101,0.779241,1.14,2,309951,2,3,21,59
339977,23.415455,0.331301,0.131,3,327998,2,6,29,74
305011,1.200791,1.200791,2.227,1,309751,2,8,30,85
313083,0.153147,0.153147,0.653,1,312442,2,8,18,88
317038,0.216876,0.216876,0.458,1,316519,2,6,32,82
322804,72.53596,0.281044,0.49,4,322805,2,3,17,44
295248,27.397251,0.140694,0.358,4,295249,3,9,28,57
283975,1.817843,0.358428,0.785,2,283976,3,4,8,14
314397,14.367971,0.523381,0.649,3,314398,2,8,18,88
276531,0.717352,0.717352,0.588,1,292250,3,4,4,8
334977,0.165551,0.165551,0.357,1,336923,2,6,29,74
348841,0.635879,0.635879,1.534,1,347217,2,7,35,144
319350,16.276375,0.063791,0.295,4,319351,2,6,32,82
290824,0.179085,0.179085,0.458,1,291335,3,9,19,39
298979,1.291009,0.191716,0.654,2,311024,2,8,18,41
335764,0.267416,0.267416,1.076,1,334611,2,6,22,84
307862,200.64117,0.344995,0.358,5,307863,3,5,9,23
309752,0.370243,0.370243,1.308,1,308234,2,3,7,83
305317,0.153265,0.153265,0.49,1,302932,3,5,16,92
320195,25.111044,1.657424,2.581,3,327012,2,6,22,71
342677,0.419924,0.419924,0.752,1,341605,2,7,35,72
304876,0.434257,0.434257,0.424,1,304877,2,3,21,59
322807,80.49513,0.830589,1.41,4,322808,2,3,17,44
309155,2.591774,1.187417,1.171,2,311904,3,5,12,91
343937,51.783207,0.140069,0.388,4,335537,2,7,24,50
330343,2.064215,2.064215,3.199,1,327204,2,3,17,80
